"Name","Child Poverty by Poverty Level"
"Description","Poverty level is the ratio of household income to the Federal Poverty Level (FPL).&nbsp;The FPL varies based on the number of children and adults in a household and the age of the head of household. In 2019,&nbsp;<a href=""https://aspe.hhs.gov/2019-poverty-guidelines"" target=""_blank"">the annual income thresholds for a family of four</a>&nbsp;would correspond to the following breakdown of poverty levels:<br />
Below 100% FPL = Below $25,750<br />
100 to 199% FPL = $25,750 to $51,499<br />
Below 200% FPL = Below $51,500<br />
200 to 399% FPL = $51,500 to $102,999<br />
400% FPL and above = $103,000 and above"
"Source Notes","CCC Analysis of U.S. Census Bureau, American Community Survey Combined 3-Year Estimates, Public Use Microdata Sample Files (2005-2019). Retrieved from&nbsp;<a href=""https://data.census.gov/"" target=""_blank"">https://data.census.gov/</a>."
"Notes","The Census Bureau excludes institutionalized individuals, individuals living in military group quarters or college dorms, and unrelated individuals under 15 years of age from poverty estimates. Percents refer to the percent of the total population for whom poverty status was determined."

Location,Poverty Level,TimeFrame,DataFormat,Data,Fips
Williamsburg/Greenpoint,Below 100% FPL,2013,Percent,0.515,301
Fort Greene/Brooklyn Hts,Below 100% FPL,2013,Percent,0.27898,302
Bedford Stuyvesant,Below 100% FPL,2013,Percent,0.48355,303
Bushwick,Below 100% FPL,2013,Percent,0.38656,304
East New York,Below 100% FPL,2013,Percent,0.38706,305
Park Slope,Below 100% FPL,2013,Percent,0.10877,306
Sunset Park,Below 100% FPL,2013,Percent,0.42397,307
Crown Heights North,Below 100% FPL,2013,Percent,0.37038,308
Crown Heights South,Below 100% FPL,2013,Percent,0.26074,309
Bay Ridge,Below 100% FPL,2013,Percent,0.19121,310
Bensonhurst,Below 100% FPL,2013,Percent,0.25725,311
Borough Park,Below 100% FPL,2013,Percent,0.45023,312
Coney Island,Below 100% FPL,2013,Percent,0.32036,313
Flatbush/Midwood,Below 100% FPL,2013,Percent,0.28125,314
Sheepshead Bay,Below 100% FPL,2013,Percent,0.21449,315
Brownsville,Below 100% FPL,2013,Percent,0.48957,316
East Flatbush,Below 100% FPL,2013,Percent,0.2601,317
Canarsie,Below 100% FPL,2013,Percent,0.17824,318
Astoria,Below 100% FPL,2013,Percent,0.25048,401
Sunnyside/Woodside,Below 100% FPL,2013,Percent,0.23587,402
Jackson Heights,Below 100% FPL,2013,Percent,0.32221,403
Elmhurst/Corona,Below 100% FPL,2013,Percent,0.30936,404
Ridgewood/Glendale,Below 100% FPL,2013,Percent,0.20544,405
Rego Park/Forest Hills,Below 100% FPL,2013,Percent,0.10872,406
Flushing,Below 100% FPL,2013,Percent,0.17634,407
Fresh Meadows/Briarwood,Below 100% FPL,2013,Percent,0.23411,408
Woodhaven,Below 100% FPL,2013,Percent,0.23919,409
Howard Beach,Below 100% FPL,2013,Percent,0.19232,410
Bayside,Below 100% FPL,2013,Percent,0.10888,411
Jamaica/St. Albans,Below 100% FPL,2013,Percent,0.27418,412
Queens Village,Below 100% FPL,2013,Percent,0.13929,413
The Rockaways,Below 100% FPL,2013,Percent,0.25823,414
St. George,Below 100% FPL,2013,Percent,0.2889,501
South Beach,Below 100% FPL,2013,Percent,0.12352,502
Tottenville,Below 100% FPL,2013,Percent,0.0693,503
Battery Park/Tribeca,Below 100% FPL,2013,Percent,0.0413,101
Greenwich Village,Below 100% FPL,2013,Percent,0.0413,102
Chelsea/Clinton,Below 100% FPL,2013,Percent,0.16517,104
Midtown Business District,Below 100% FPL,2013,Percent,0.16517,105
Mott Haven,Below 100% FPL,2013,Percent,0.54588,201
Hunts Point,Below 100% FPL,2013,Percent,0.54588,202
Morrisania,Below 100% FPL,2013,Percent,0.52501,203
East Tremont,Below 100% FPL,2013,Percent,0.52501,206
Lower East Side,Below 100% FPL,2012,Percent,0.35571,103
Murray Hill/Stuyvesant,Below 100% FPL,2012,Percent,0.03768,106
Upper West Side,Below 100% FPL,2012,Percent,0.11891,107
Upper East Side,Below 100% FPL,2012,Percent,0.05559,108
Manhattanville,Below 100% FPL,2012,Percent,0.40008,109
Central Harlem,Below 100% FPL,2012,Percent,0.36426,110
East Harlem,Below 100% FPL,2012,Percent,0.45397,111
Washington Heights,Below 100% FPL,2012,Percent,0.32556,112
Concourse/Highbridge,Below 100% FPL,2012,Percent,0.48601,204
University Heights,Below 100% FPL,2012,Percent,0.54288,205
Bedford Park,Below 100% FPL,2012,Percent,0.42467,207
Riverdale,Below 100% FPL,2012,Percent,0.25275,208
Unionport/Soundview,Below 100% FPL,2012,Percent,0.37305,209
Throgs Neck,Below 100% FPL,2012,Percent,0.2412,210
Pelham Parkway,Below 100% FPL,2012,Percent,0.28636,211
Williamsbridge,Below 100% FPL,2012,Percent,0.30904,212
Williamsburg/Greenpoint,Below 100% FPL,2012,Percent,0.52627,301
Fort Greene/Brooklyn Hts,Below 100% FPL,2012,Percent,0.24455,302
Bedford Stuyvesant,Below 100% FPL,2012,Percent,0.45591,303
Bushwick,Below 100% FPL,2012,Percent,0.42267,304
East New York,Below 100% FPL,2012,Percent,0.41156,305
Park Slope,Below 100% FPL,2012,Percent,0.1019,306
Sunset Park,Below 100% FPL,2012,Percent,0.37554,307
Crown Heights North,Below 100% FPL,2012,Percent,0.37752,308
Crown Heights South,Below 100% FPL,2012,Percent,0.28407,309
Bay Ridge,Below 100% FPL,2012,Percent,0.18817,310
Bensonhurst,Below 100% FPL,2012,Percent,0.26929,311
Borough Park,Below 100% FPL,2012,Percent,0.46037,312
Coney Island,Below 100% FPL,2012,Percent,0.31864,313
Flatbush/Midwood,Below 100% FPL,2012,Percent,0.28058,314
Sheepshead Bay,Below 100% FPL,2012,Percent,0.21468,315
Brownsville,Below 100% FPL,2012,Percent,0.5049,316
East Flatbush,Below 100% FPL,2012,Percent,0.24291,317
Canarsie,Below 100% FPL,2012,Percent,0.17862,318
Astoria,Below 100% FPL,2012,Percent,0.25078,401
Sunnyside/Woodside,Below 100% FPL,2012,Percent,0.22267,402
Jackson Heights,Below 100% FPL,2012,Percent,0.35073,403
Elmhurst/Corona,Below 100% FPL,2012,Percent,0.29492,404
Ridgewood/Glendale,Below 100% FPL,2012,Percent,0.24445,405
Rego Park/Forest Hills,Below 100% FPL,2012,Percent,0.10499,406
Flushing,Below 100% FPL,2012,Percent,0.16762,407
Fresh Meadows/Briarwood,Below 100% FPL,2012,Percent,0.21269,408
Woodhaven,Below 100% FPL,2012,Percent,0.23169,409
Howard Beach,Below 100% FPL,2012,Percent,0.19357,410
Bayside,Below 100% FPL,2012,Percent,0.11411,411
Jamaica/St. Albans,Below 100% FPL,2012,Percent,0.28766,412
Queens Village,Below 100% FPL,2012,Percent,0.12965,413
The Rockaways,Below 100% FPL,2012,Percent,0.30333,414
St. George,Below 100% FPL,2012,Percent,0.2926,501
South Beach,Below 100% FPL,2012,Percent,0.08238,502
Tottenville,Below 100% FPL,2012,Percent,0.07077,503
Battery Park/Tribeca,Below 100% FPL,2012,Percent,0.06347,101
Greenwich Village,Below 100% FPL,2012,Percent,0.06347,102
Chelsea/Clinton,Below 100% FPL,2012,Percent,0.13286,104
Midtown Business District,Below 100% FPL,2012,Percent,0.13286,105
Mott Haven,Below 100% FPL,2012,Percent,0.54817,201
Hunts Point,Below 100% FPL,2012,Percent,0.54817,202
Morrisania,Below 100% FPL,2012,Percent,0.58206,203
East Tremont,Below 100% FPL,2012,Percent,0.58206,206
Lower East Side,Below 100% FPL,2011,Percent,0.32678,103
Murray Hill/Stuyvesant,Below 100% FPL,2011,Percent,0.02781,106
Upper West Side,Below 100% FPL,2011,Percent,0.12363,107
Upper East Side,Below 100% FPL,2011,Percent,0.03211,108
Manhattanville,Below 100% FPL,2011,Percent,0.36585,109
Central Harlem,Below 100% FPL,2011,Percent,0.33447,110
East Harlem,Below 100% FPL,2011,Percent,0.43955,111
Washington Heights,Below 100% FPL,2011,Percent,0.34123,112
Concourse/Highbridge,Below 100% FPL,2011,Percent,0.47141,204
University Heights,Below 100% FPL,2011,Percent,0.52929,205
Bedford Park,Below 100% FPL,2011,Percent,0.42332,207
Riverdale,Below 100% FPL,2011,Percent,0.24387,208
Unionport/Soundview,Below 100% FPL,2011,Percent,0.36563,209
Throgs Neck,Below 100% FPL,2011,Percent,0.22605,210
Pelham Parkway,Below 100% FPL,2011,Percent,0.26738,211
Williamsbridge,Below 100% FPL,2011,Percent,0.28874,212
Williamsburg/Greenpoint,Below 100% FPL,2011,Percent,0.49669,301
Fort Greene/Brooklyn Hts,Below 100% FPL,2011,Percent,0.23182,302
Bedford Stuyvesant,Below 100% FPL,2011,Percent,0.47005,303
Bushwick,Below 100% FPL,2011,Percent,0.44738,304
East New York,Below 100% FPL,2011,Percent,0.44398,305
Park Slope,Below 100% FPL,2011,Percent,0.0825,306
Sunset Park,Below 100% FPL,2011,Percent,0.3533,307
Crown Heights North,Below 100% FPL,2011,Percent,0.3762,308
Crown Heights South,Below 100% FPL,2011,Percent,0.27936,309
Bay Ridge,Below 100% FPL,2011,Percent,0.19822,310
Bensonhurst,Below 100% FPL,2011,Percent,0.2061,311
Borough Park,Below 100% FPL,2011,Percent,0.41609,312
Coney Island,Below 100% FPL,2011,Percent,0.27194,313
Flatbush/Midwood,Below 100% FPL,2011,Percent,0.31071,314
Sheepshead Bay,Below 100% FPL,2011,Percent,0.14672,315
Brownsville,Below 100% FPL,2011,Percent,0.5275,316
East Flatbush,Below 100% FPL,2011,Percent,0.21475,317
Canarsie,Below 100% FPL,2011,Percent,0.15716,318
Astoria,Below 100% FPL,2011,Percent,0.23699,401
Sunnyside/Woodside,Below 100% FPL,2011,Percent,0.16392,402
Jackson Heights,Below 100% FPL,2011,Percent,0.28508,403
Elmhurst/Corona,Below 100% FPL,2011,Percent,0.28573,404
Ridgewood/Glendale,Below 100% FPL,2011,Percent,0.23467,405
Rego Park/Forest Hills,Below 100% FPL,2011,Percent,0.08945,406
Flushing,Below 100% FPL,2011,Percent,0.11876,407
Fresh Meadows/Briarwood,Below 100% FPL,2011,Percent,0.1718,408
Woodhaven,Below 100% FPL,2011,Percent,0.19428,409
Howard Beach,Below 100% FPL,2011,Percent,0.15861,410
Bayside,Below 100% FPL,2011,Percent,0.10633,411
Jamaica/St. Albans,Below 100% FPL,2011,Percent,0.2702,412
Queens Village,Below 100% FPL,2011,Percent,0.0911,413
The Rockaways,Below 100% FPL,2011,Percent,0.31385,414
St. George,Below 100% FPL,2011,Percent,0.29012,501
South Beach,Below 100% FPL,2011,Percent,0.11517,502
Tottenville,Below 100% FPL,2011,Percent,0.07169,503
Battery Park/Tribeca,Below 100% FPL,2011,Percent,0.06141,101
Greenwich Village,Below 100% FPL,2011,Percent,0.06141,102
Chelsea/Clinton,Below 100% FPL,2011,Percent,0.19774,104
Midtown Business District,Below 100% FPL,2011,Percent,0.19774,105
Mott Haven,Below 100% FPL,2011,Percent,0.53412,201
Hunts Point,Below 100% FPL,2011,Percent,0.53412,202
Morrisania,Below 100% FPL,2011,Percent,0.53927,203
East Tremont,Below 100% FPL,2011,Percent,0.53927,206
Lower East Side,Below 100% FPL,2010,Percent,0.31869,103
Murray Hill/Stuyvesant,Below 100% FPL,2010,Percent,0.04431,106
Upper West Side,Below 100% FPL,2010,Percent,0.10455,107
Upper East Side,Below 100% FPL,2010,Percent,0.0412,108
Manhattanville,Below 100% FPL,2010,Percent,0.37432,109
Central Harlem,Below 100% FPL,2010,Percent,0.34082,110
East Harlem,Below 100% FPL,2010,Percent,0.38965,111
Washington Heights,Below 100% FPL,2010,Percent,0.28806,112
Concourse/Highbridge,Below 100% FPL,2010,Percent,0.49192,204
University Heights,Below 100% FPL,2010,Percent,0.52031,205
Bedford Park,Below 100% FPL,2010,Percent,0.42156,207
Riverdale,Below 100% FPL,2010,Percent,0.25276,208
Unionport/Soundview,Below 100% FPL,2010,Percent,0.32522,209
Throgs Neck,Below 100% FPL,2010,Percent,0.24902,210
Pelham Parkway,Below 100% FPL,2010,Percent,0.26908,211
Williamsbridge,Below 100% FPL,2010,Percent,0.27384,212
Williamsburg/Greenpoint,Below 100% FPL,2010,Percent,0.49179,301
Fort Greene/Brooklyn Hts,Below 100% FPL,2010,Percent,0.28316,302
Bedford Stuyvesant,Below 100% FPL,2010,Percent,0.45975,303
Bushwick,Below 100% FPL,2010,Percent,0.40321,304
East New York,Below 100% FPL,2010,Percent,0.43099,305
Park Slope,Below 100% FPL,2010,Percent,0.10681,306
Sunset Park,Below 100% FPL,2010,Percent,0.34456,307
Crown Heights North,Below 100% FPL,2010,Percent,0.37218,308
Crown Heights South,Below 100% FPL,2010,Percent,0.30902,309
Bay Ridge,Below 100% FPL,2010,Percent,0.20439,310
Bensonhurst,Below 100% FPL,2010,Percent,0.20905,311
Borough Park,Below 100% FPL,2010,Percent,0.39681,312
Coney Island,Below 100% FPL,2010,Percent,0.23509,313
Flatbush/Midwood,Below 100% FPL,2010,Percent,0.30405,314
Sheepshead Bay,Below 100% FPL,2010,Percent,0.13748,315
Brownsville,Below 100% FPL,2010,Percent,0.47941,316
East Flatbush,Below 100% FPL,2010,Percent,0.17363,317
Canarsie,Below 100% FPL,2010,Percent,0.13733,318
Astoria,Below 100% FPL,2010,Percent,0.26412,401
Sunnyside/Woodside,Below 100% FPL,2010,Percent,0.15024,402
Jackson Heights,Below 100% FPL,2010,Percent,0.27238,403
Elmhurst/Corona,Below 100% FPL,2010,Percent,0.27655,404
Ridgewood/Glendale,Below 100% FPL,2010,Percent,0.21703,405
Rego Park/Forest Hills,Below 100% FPL,2010,Percent,0.08495,406
Flushing,Below 100% FPL,2010,Percent,0.13126,407
Fresh Meadows/Briarwood,Below 100% FPL,2010,Percent,0.13245,408
Woodhaven,Below 100% FPL,2010,Percent,0.17078,409
Howard Beach,Below 100% FPL,2010,Percent,0.17299,410
Bayside,Below 100% FPL,2010,Percent,0.08481,411
Jamaica/St. Albans,Below 100% FPL,2010,Percent,0.2354,412
Queens Village,Below 100% FPL,2010,Percent,0.07844,413
The Rockaways,Below 100% FPL,2010,Percent,0.28539,414
St. George,Below 100% FPL,2010,Percent,0.28432,501
South Beach,Below 100% FPL,2010,Percent,0.11144,502
Tottenville,Below 100% FPL,2010,Percent,0.05493,503
Battery Park/Tribeca,Below 100% FPL,2010,Percent,0.07499,101
Greenwich Village,Below 100% FPL,2010,Percent,0.07499,102
Chelsea/Clinton,Below 100% FPL,2010,Percent,0.1708,104
Midtown Business District,Below 100% FPL,2010,Percent,0.1708,105
Mott Haven,Below 100% FPL,2010,Percent,0.54612,201
Hunts Point,Below 100% FPL,2010,Percent,0.54612,202
Morrisania,Below 100% FPL,2010,Percent,0.5437,203
East Tremont,Below 100% FPL,2010,Percent,0.5437,206
Lower East Side,100 to 199% FPL,2018,Percent,0.25126,103
Murray Hill/Stuyvesant,100 to 199% FPL,2018,Percent,0.08755,106
Upper West Side,100 to 199% FPL,2018,Percent,0.09453,107
Upper East Side,100 to 199% FPL,2018,Percent,0.03862,108
Manhattanville,100 to 199% FPL,2018,Percent,0.2604,109
Central Harlem,100 to 199% FPL,2018,Percent,0.22086,110
East Harlem,100 to 199% FPL,2018,Percent,0.21858,111
Washington Heights,100 to 199% FPL,2018,Percent,0.27178,112
Concourse/Highbridge,100 to 199% FPL,2018,Percent,0.26486,204
University Heights,100 to 199% FPL,2018,Percent,0.2533,205
Bedford Park,100 to 199% FPL,2018,Percent,0.26268,207
Riverdale,100 to 199% FPL,2018,Percent,0.23706,208
Unionport/Soundview,100 to 199% FPL,2018,Percent,0.26587,209
Throgs Neck,100 to 199% FPL,2018,Percent,0.14571,210
Pelham Parkway,100 to 199% FPL,2018,Percent,0.27632,211
Williamsbridge,100 to 199% FPL,2018,Percent,0.24125,212
Williamsburg/Greenpoint,100 to 199% FPL,2018,Percent,0.27748,301
Fort Greene/Brooklyn Hts,100 to 199% FPL,2018,Percent,0.14269,302
Bedford Stuyvesant,100 to 199% FPL,2018,Percent,0.26771,303
Bushwick,100 to 199% FPL,2018,Percent,0.19216,304
East New York,100 to 199% FPL,2018,Percent,0.25074,305
Park Slope,100 to 199% FPL,2018,Percent,0.09649,306
Sunset Park,100 to 199% FPL,2018,Percent,0.33119,307
Crown Heights North,100 to 199% FPL,2018,Percent,0.23725,308
Crown Heights South,100 to 199% FPL,2018,Percent,0.24299,309
Bay Ridge,100 to 199% FPL,2018,Percent,0.19381,310
Bensonhurst,100 to 199% FPL,2018,Percent,0.27003,311
Borough Park,100 to 199% FPL,2018,Percent,0.27494,312
Coney Island,100 to 199% FPL,2018,Percent,0.23169,313
Flatbush/Midwood,100 to 199% FPL,2018,Percent,0.30206,314
Sheepshead Bay,100 to 199% FPL,2018,Percent,0.21995,315
Brownsville,100 to 199% FPL,2018,Percent,0.25158,316
East Flatbush,100 to 199% FPL,2018,Percent,0.27541,317
Canarsie,100 to 199% FPL,2018,Percent,0.18506,318
Astoria,100 to 199% FPL,2018,Percent,0.24649,401
Sunnyside/Woodside,100 to 199% FPL,2018,Percent,0.3164,402
Jackson Heights,100 to 199% FPL,2018,Percent,0.32463,403
Elmhurst/Corona,100 to 199% FPL,2018,Percent,0.41272,404
Ridgewood/Glendale,100 to 199% FPL,2018,Percent,0.20628,405
Rego Park/Forest Hills,100 to 199% FPL,2018,Percent,0.08404,406
Flushing,100 to 199% FPL,2018,Percent,0.30903,407
Fresh Meadows/Briarwood,100 to 199% FPL,2018,Percent,0.24051,408
Woodhaven,100 to 199% FPL,2018,Percent,0.21776,409
Howard Beach,100 to 199% FPL,2018,Percent,0.26463,410
Bayside,100 to 199% FPL,2018,Percent,0.16169,411
Jamaica/St. Albans,100 to 199% FPL,2018,Percent,0.27309,412
Queens Village,100 to 199% FPL,2018,Percent,0.16357,413
The Rockaways,100 to 199% FPL,2018,Percent,0.26197,414
St. George,100 to 199% FPL,2018,Percent,0.15857,501
South Beach,100 to 199% FPL,2018,Percent,0.09205,502
Tottenville,100 to 199% FPL,2018,Percent,0.1372,503
Battery Park/Tribeca,100 to 199% FPL,2018,Percent,0.01263,101
Greenwich Village,100 to 199% FPL,2018,Percent,0.01263,102
Chelsea/Clinton,100 to 199% FPL,2018,Percent,0.05963,104
Midtown Business District,100 to 199% FPL,2018,Percent,0.05963,105
Mott Haven,100 to 199% FPL,2018,Percent,0.23376,201
Hunts Point,100 to 199% FPL,2018,Percent,0.23376,202
Morrisania,100 to 199% FPL,2018,Percent,0.28153,203
East Tremont,100 to 199% FPL,2018,Percent,0.28153,206
Lower East Side,100 to 199% FPL,2017,Percent,0.26377,103
Murray Hill/Stuyvesant,100 to 199% FPL,2017,Percent,0.06971,106
Upper West Side,100 to 199% FPL,2017,Percent,0.08817,107
Upper East Side,100 to 199% FPL,2017,Percent,0.03476,108
Manhattanville,100 to 199% FPL,2017,Percent,0.28003,109
Central Harlem,100 to 199% FPL,2017,Percent,0.25333,110
East Harlem,100 to 199% FPL,2017,Percent,0.21777,111
Washington Heights,100 to 199% FPL,2017,Percent,0.30021,112
Concourse/Highbridge,100 to 199% FPL,2017,Percent,0.24893,204
University Heights,100 to 199% FPL,2017,Percent,0.25424,205
Bedford Park,100 to 199% FPL,2017,Percent,0.27343,207
Riverdale,100 to 199% FPL,2017,Percent,0.17247,208
Unionport/Soundview,100 to 199% FPL,2017,Percent,0.25315,209
Throgs Neck,100 to 199% FPL,2017,Percent,0.13723,210
Pelham Parkway,100 to 199% FPL,2017,Percent,0.29098,211
Williamsbridge,100 to 199% FPL,2017,Percent,0.2368,212
Williamsburg/Greenpoint,100 to 199% FPL,2017,Percent,0.29025,301
Fort Greene/Brooklyn Hts,100 to 199% FPL,2017,Percent,0.12094,302
Bedford Stuyvesant,100 to 199% FPL,2017,Percent,0.26403,303
Bushwick,100 to 199% FPL,2017,Percent,0.22747,304
East New York,100 to 199% FPL,2017,Percent,0.26351,305
Park Slope,100 to 199% FPL,2017,Percent,0.11573,306
Sunset Park,100 to 199% FPL,2017,Percent,0.30447,307
Crown Heights North,100 to 199% FPL,2017,Percent,0.21934,308
Crown Heights South,100 to 199% FPL,2017,Percent,0.25469,309
Bay Ridge,100 to 199% FPL,2017,Percent,0.20477,310
Bensonhurst,100 to 199% FPL,2017,Percent,0.26958,311
Borough Park,100 to 199% FPL,2017,Percent,0.2577,312
Coney Island,100 to 199% FPL,2017,Percent,0.24271,313
Flatbush/Midwood,100 to 199% FPL,2017,Percent,0.30216,314
Sheepshead Bay,100 to 199% FPL,2017,Percent,0.22536,315
Brownsville,100 to 199% FPL,2017,Percent,0.24051,316
East Flatbush,100 to 199% FPL,2017,Percent,0.29192,317
Canarsie,100 to 199% FPL,2017,Percent,0.18064,318
Astoria,100 to 199% FPL,2017,Percent,0.25858,401
Sunnyside/Woodside,100 to 199% FPL,2017,Percent,0.29192,402
Jackson Heights,100 to 199% FPL,2017,Percent,0.33717,403
Elmhurst/Corona,100 to 199% FPL,2017,Percent,0.4018,404
Ridgewood/Glendale,100 to 199% FPL,2017,Percent,0.20436,405
Rego Park/Forest Hills,100 to 199% FPL,2017,Percent,0.1181,406
Flushing,100 to 199% FPL,2017,Percent,0.34139,407
Fresh Meadows/Briarwood,100 to 199% FPL,2017,Percent,0.2874,408
Woodhaven,100 to 199% FPL,2017,Percent,0.22085,409
Howard Beach,100 to 199% FPL,2017,Percent,0.23176,410
Bayside,100 to 199% FPL,2017,Percent,0.16258,411
Jamaica/St. Albans,100 to 199% FPL,2017,Percent,0.2776,412
Queens Village,100 to 199% FPL,2017,Percent,0.20095,413
The Rockaways,100 to 199% FPL,2017,Percent,0.25812,414
St. George,100 to 199% FPL,2017,Percent,0.15243,501
South Beach,100 to 199% FPL,2017,Percent,0.13747,502
Tottenville,100 to 199% FPL,2017,Percent,0.11605,503
Battery Park/Tribeca,100 to 199% FPL,2017,Percent,0.02168,101
Greenwich Village,100 to 199% FPL,2017,Percent,0.02168,102
Chelsea/Clinton,100 to 199% FPL,2017,Percent,0.07166,104
Midtown Business District,100 to 199% FPL,2017,Percent,0.07166,105
Mott Haven,100 to 199% FPL,2017,Percent,0.2698,201
Hunts Point,100 to 199% FPL,2017,Percent,0.2698,202
Morrisania,100 to 199% FPL,2017,Percent,0.27846,203
East Tremont,100 to 199% FPL,2017,Percent,0.27846,206
Lower East Side,100 to 199% FPL,2016,Percent,0.25102,103
Murray Hill/Stuyvesant,100 to 199% FPL,2016,Percent,0.03307,106
Upper West Side,100 to 199% FPL,2016,Percent,0.04794,107
Upper East Side,100 to 199% FPL,2016,Percent,0.04977,108
Manhattanville,100 to 199% FPL,2016,Percent,0.26729,109
Central Harlem,100 to 199% FPL,2016,Percent,0.24989,110
East Harlem,100 to 199% FPL,2016,Percent,0.25961,111
Washington Heights,100 to 199% FPL,2016,Percent,0.28512,112
Concourse/Highbridge,100 to 199% FPL,2016,Percent,0.27558,204
University Heights,100 to 199% FPL,2016,Percent,0.21322,205
Bedford Park,100 to 199% FPL,2016,Percent,0.30129,207
Riverdale,100 to 199% FPL,2016,Percent,0.14023,208
Unionport/Soundview,100 to 199% FPL,2016,Percent,0.25809,209
Throgs Neck,100 to 199% FPL,2016,Percent,0.18633,210
Pelham Parkway,100 to 199% FPL,2016,Percent,0.28318,211
Williamsbridge,100 to 199% FPL,2016,Percent,0.24862,212
Williamsburg/Greenpoint,100 to 199% FPL,2016,Percent,0.26655,301
Fort Greene/Brooklyn Hts,100 to 199% FPL,2016,Percent,0.12604,302
Bedford Stuyvesant,100 to 199% FPL,2016,Percent,0.26444,303
Bushwick,100 to 199% FPL,2016,Percent,0.26704,304
East New York,100 to 199% FPL,2016,Percent,0.25636,305
Park Slope,100 to 199% FPL,2016,Percent,0.11292,306
Sunset Park,100 to 199% FPL,2016,Percent,0.27744,307
Crown Heights North,100 to 199% FPL,2016,Percent,0.22302,308
Crown Heights South,100 to 199% FPL,2016,Percent,0.30314,309
Bay Ridge,100 to 199% FPL,2016,Percent,0.19932,310
Bensonhurst,100 to 199% FPL,2016,Percent,0.29539,311
Borough Park,100 to 199% FPL,2016,Percent,0.23726,312
Coney Island,100 to 199% FPL,2016,Percent,0.2381,313
Flatbush/Midwood,100 to 199% FPL,2016,Percent,0.28864,314
Sheepshead Bay,100 to 199% FPL,2016,Percent,0.19812,315
Brownsville,100 to 199% FPL,2016,Percent,0.23697,316
East Flatbush,100 to 199% FPL,2016,Percent,0.27116,317
Canarsie,100 to 199% FPL,2016,Percent,0.21099,318
Astoria,100 to 199% FPL,2016,Percent,0.21704,401
Sunnyside/Woodside,100 to 199% FPL,2016,Percent,0.2843,402
Jackson Heights,100 to 199% FPL,2016,Percent,0.35766,403
Elmhurst/Corona,100 to 199% FPL,2016,Percent,0.38608,404
Ridgewood/Glendale,100 to 199% FPL,2016,Percent,0.19507,405
Rego Park/Forest Hills,100 to 199% FPL,2016,Percent,0.11016,406
Flushing,100 to 199% FPL,2016,Percent,0.31817,407
Fresh Meadows/Briarwood,100 to 199% FPL,2016,Percent,0.24878,408
Woodhaven,100 to 199% FPL,2016,Percent,0.26074,409
Howard Beach,100 to 199% FPL,2016,Percent,0.19132,410
Bayside,100 to 199% FPL,2016,Percent,0.17551,411
Jamaica/St. Albans,100 to 199% FPL,2016,Percent,0.28858,412
Queens Village,100 to 199% FPL,2016,Percent,0.18135,413
The Rockaways,100 to 199% FPL,2016,Percent,0.27578,414
St. George,100 to 199% FPL,2016,Percent,0.12605,501
South Beach,100 to 199% FPL,2016,Percent,0.15208,502
Tottenville,100 to 199% FPL,2016,Percent,0.11709,503
Battery Park/Tribeca,100 to 199% FPL,2016,Percent,0.05012,101
Greenwich Village,100 to 199% FPL,2016,Percent,0.05012,102
Chelsea/Clinton,100 to 199% FPL,2016,Percent,0.11198,104
Midtown Business District,100 to 199% FPL,2016,Percent,0.11198,105
Mott Haven,100 to 199% FPL,2016,Percent,0.31599,201
Hunts Point,100 to 199% FPL,2016,Percent,0.31599,202
Morrisania,100 to 199% FPL,2016,Percent,0.28073,203
East Tremont,100 to 199% FPL,2016,Percent,0.28073,206
Lower East Side,100 to 199% FPL,2015,Percent,0.2033,103
Murray Hill/Stuyvesant,100 to 199% FPL,2015,Percent,0.06608,106
Upper West Side,100 to 199% FPL,2015,Percent,0.04047,107
Upper East Side,100 to 199% FPL,2015,Percent,0.03784,108
Manhattanville,100 to 199% FPL,2015,Percent,0.2683,109
Central Harlem,100 to 199% FPL,2015,Percent,0.26451,110
East Harlem,100 to 199% FPL,2015,Percent,0.27376,111
Washington Heights,100 to 199% FPL,2015,Percent,0.296,112
Concourse/Highbridge,100 to 199% FPL,2015,Percent,0.30207,204
University Heights,100 to 199% FPL,2015,Percent,0.23134,205
Bedford Park,100 to 199% FPL,2015,Percent,0.30986,207
Riverdale,100 to 199% FPL,2015,Percent,0.14672,208
Unionport/Soundview,100 to 199% FPL,2015,Percent,0.25887,209
Throgs Neck,100 to 199% FPL,2015,Percent,0.21251,210
Pelham Parkway,100 to 199% FPL,2015,Percent,0.26504,211
Williamsbridge,100 to 199% FPL,2015,Percent,0.25348,212
Williamsburg/Greenpoint,100 to 199% FPL,2015,Percent,0.275,301
Fort Greene/Brooklyn Hts,100 to 199% FPL,2015,Percent,0.11761,302
Bedford Stuyvesant,100 to 199% FPL,2015,Percent,0.21698,303
Bushwick,100 to 199% FPL,2015,Percent,0.29931,304
East New York,100 to 199% FPL,2015,Percent,0.28107,305
Park Slope,100 to 199% FPL,2015,Percent,0.06819,306
Sunset Park,100 to 199% FPL,2015,Percent,0.24322,307
Crown Heights North,100 to 199% FPL,2015,Percent,0.24428,308
Crown Heights South,100 to 199% FPL,2015,Percent,0.28526,309
Bay Ridge,100 to 199% FPL,2015,Percent,0.20783,310
Bensonhurst,100 to 199% FPL,2015,Percent,0.27433,311
Borough Park,100 to 199% FPL,2015,Percent,0.27308,312
Coney Island,100 to 199% FPL,2015,Percent,0.23319,313
